#refdes,symbol_x,symbol_y,rotation,mirror,symbol_name,embedded_layer,DXF
#refdes,symbol_x,symbol_y,rotation,mirror,symbol_name,embedded_layer,
R100,2469.50,2045.24,90,,C0201_V1,,(2462, 2031)(2462, 2059)(2462, 2060)(2462, 2060)(2462, 2061)(2463, 2061)(2463, 2062)(2464, 2062)(2464, 2062)(2465, 2062)(2465, 2062)(2473, 2062)(2473, 2062)(2474, 2062)(2474, 2062)(2475, 2062)(2475, 2061)(2476, 2061)(2476, 2060)(2476, 2060)(2476, 2059)(2476, 2031)(2476, 2030)(2476, 2029)(2476, 2029)(2475, 2028)(2475, 2028)(2474, 2028)(2474, 2027)(2473, 2027)(2473, 2027)(2465, 2027)(2465, 2027)(2464, 2027)(2464, 2028)(2463, 2028)(2463, 2028)(2462, 2029)(2462, 2029)(2462, 2030)
R101,2528.80,2045.60,90,,C0201_V1,,(2521, 2031)(2521, 2059)(2521, 2060)(2521, 2060)(2522, 2061)(2522, 2062)(2522, 2062)(2523, 2062)(2524, 2063)(2524, 2063)(2525, 2063)(2532, 2063)(2532, 2063)(2533, 2063)(2534, 2062)(2534, 2062)(2535, 2062)(2535, 2061)(2535, 2060)(2535, 2060)(2535, 2059)(2535, 2031)(2535, 2030)(2535, 2030)(2535, 2029)(2535, 2029)(2534, 2028)(2534, 2028)(2533, 2028)(2532, 2027)(2532, 2027)(2525, 2027)(2524, 2027)(2524, 2028)(2523, 2028)(2522, 2028)(2522, 2029)(2522, 2029)(2521, 2030)(2521, 2030)
R102,2435.37,2033.42,0,,C0201_V1,,(2421, 2040)(2449, 2040)(2450, 2040)(2450, 2040)(2451, 2040)(2451, 2039)(2452, 2039)(2452, 2038)(2452, 2038)(2453, 2037)(2453, 2036)(2453, 2029)(2453, 2029)(2452, 2028)(2452, 2028)(2452, 2027)(2451, 2027)(2451, 2026)(2450, 2026)(2450, 2026)(2449, 2026)(2421, 2026)(2420, 2026)(2419, 2026)(2419, 2026)(2418, 2027)(2418, 2027)(2418, 2028)(2417, 2028)(2417, 2029)(2417, 2029)(2417, 2036)(2417, 2037)(2417, 2038)(2418, 2038)(2418, 2039)(2418, 2039)(2419, 2040)(2419, 2040)(2420, 2040)
R96,2530.52,2352.52,0,,C0201_V1,,(2516, 2359)(2544, 2359)(2545, 2359)(2545, 2359)(2546, 2359)(2546, 2358)(2547, 2358)(2547, 2357)(2548, 2357)(2548, 2356)(2548, 2356)(2548, 2348)(2548, 2348)(2548, 2347)(2547, 2347)(2547, 2346)(2546, 2346)(2546, 2345)(2545, 2345)(2545, 2345)(2544, 2345)(2516, 2345)(2515, 2345)(2515, 2345)(2514, 2345)(2514, 2346)(2513, 2346)(2513, 2347)(2513, 2347)(2512, 2348)(2512, 2348)(2512, 2356)(2512, 2356)(2513, 2357)(2513, 2357)(2513, 2358)(2514, 2358)(2514, 2359)(2515, 2359)(2515, 2359)
R97,2530.52,2431.26,0,,C0201_V1,,(2516, 2438)(2544, 2438)(2545, 2438)(2545, 2438)(2546, 2437)(2546, 2437)(2547, 2437)(2547, 2436)(2548, 2436)(2548, 2435)(2548, 2434)(2548, 2427)(2548, 2427)(2548, 2426)(2547, 2425)(2547, 2425)(2546, 2425)(2546, 2424)(2545, 2424)(2545, 2424)(2544, 2424)(2516, 2424)(2515, 2424)(2515, 2424)(2514, 2424)(2514, 2425)(2513, 2425)(2513, 2425)(2513, 2426)(2512, 2427)(2512, 2427)(2512, 2434)(2512, 2435)(2513, 2436)(2513, 2436)(2513, 2437)(2514, 2437)(2514, 2437)(2515, 2438)(2515, 2438)
R98,2518.72,2391.89,90,,C0201_V1,,(2511, 2377)(2511, 2406)(2511, 2406)(2511, 2407)(2512, 2407)(2512, 2408)(2512, 2408)(2513, 2409)(2513, 2409)(2514, 2409)(2515, 2409)(2522, 2409)(2522, 2409)(2523, 2409)(2524, 2409)(2524, 2408)(2524, 2408)(2525, 2407)(2525, 2407)(2525, 2406)(2525, 2406)(2525, 2377)(2525, 2377)(2525, 2376)(2525, 2375)(2524, 2375)(2524, 2375)(2524, 2374)(2523, 2374)(2522, 2374)(2522, 2374)(2515, 2374)(2514, 2374)(2513, 2374)(2513, 2374)(2512, 2375)(2512, 2375)(2512, 2375)(2511, 2376)(2511, 2377)
R99,2499.22,2033.42,0,,C0201_V1,,(2485, 2040)(2513, 2040)(2514, 2040)(2514, 2040)(2515, 2040)(2515, 2039)(2516, 2039)(2516, 2038)(2516, 2038)(2516, 2037)(2516, 2036)(2516, 2029)(2516, 2029)(2516, 2028)(2516, 2028)(2516, 2027)(2515, 2027)(2515, 2026)(2514, 2026)(2514, 2026)(2513, 2026)(2485, 2026)(2484, 2026)(2483, 2026)(2483, 2026)(2482, 2027)(2482, 2027)(2481, 2028)(2481, 2028)(2481, 2029)(2481, 2029)(2481, 2036)(2481, 2037)(2481, 2038)(2481, 2038)(2482, 2039)(2482, 2039)(2483, 2040)(2483, 2040)(2484, 2040)
C128,2020.00,1843.00,0,m,C0201_V1,,(2034, 1850)(2005, 1850)(2005, 1850)(2004, 1849)(2004, 1849)(2003, 1849)(2003, 1848)(2002, 1848)(2002, 1847)(2002, 1847)(2002, 1846)(2002, 1839)(2002, 1838)(2002, 1838)(2002, 1837)(2003, 1837)(2003, 1836)(2004, 1836)(2004, 1836)(2005, 1835)(2005, 1835)(2034, 1835)(2034, 1835)(2035, 1836)(2035, 1836)(2036, 1836)(2036, 1837)(2037, 1837)(2037, 1838)(2037, 1838)(2037, 1839)(2037, 1846)(2037, 1847)(2037, 1847)(2037, 1848)(2036, 1848)(2036, 1849)(2035, 1849)(2035, 1849)(2034, 1850)
C135,2139.00,1779.00,0,m,C0201_V1,,(2153, 1786)(2124, 1786)(2124, 1786)(2123, 1785)(2123, 1785)(2122, 1785)(2122, 1784)(2121, 1784)(2121, 1783)(2121, 1783)(2121, 1782)(2121, 1775)(2121, 1774)(2121, 1774)(2121, 1773)(2122, 1773)(2122, 1772)(2123, 1772)(2123, 1772)(2124, 1771)(2124, 1771)(2153, 1771)(2153, 1771)(2154, 1772)(2154, 1772)(2155, 1772)(2155, 1773)(2156, 1773)(2156, 1774)(2156, 1774)(2156, 1775)(2156, 1782)(2156, 1783)(2156, 1783)(2156, 1784)(2155, 1784)(2155, 1785)(2154, 1785)(2154, 1785)(2153, 1786)
C138,2225.00,1747.00,0,m,C0201_V1,,(2239, 1754)(2210, 1754)(2210, 1754)(2209, 1753)(2209, 1753)(2208, 1753)(2208, 1752)(2207, 1752)(2207, 1751)(2207, 1751)(2207, 1750)(2207, 1743)(2207, 1742)(2207, 1742)(2207, 1741)(2208, 1741)(2208, 1740)(2209, 1740)(2209, 1740)(2210, 1739)(2210, 1739)(2239, 1739)(2239, 1739)(2240, 1740)(2240, 1740)(2241, 1740)(2241, 1741)(2242, 1741)(2242, 1742)(2242, 1742)(2242, 1743)(2242, 1750)(2242, 1751)(2242, 1751)(2242, 1752)(2241, 1752)(2241, 1753)(2240, 1753)(2240, 1753)(2239, 1754)
